47057520,Sofia,Lopez,slopezf@gmail.com,socio,True,False,2025-03-01,slopezf@gmail.com
73789750,Mateo,Navarro,mnavarrof@gmail.com,socio,True,False,2025-08-05,mnavarrof@gmail.com
93033107,Joaquin,Rojas,jrojasb@gmail.com,socio,True,False,2024-11-05,jrojasb@gmail.com
24413864,Laura,Ortiz,lortizf@gmail.com,socio,False,False,2024-12-15,lortizf@gmail.com
56616197,Ricardo,Alarcon,ralarcone@gmail.com,socio,True,False,2023-11-30,ralarcone@gmail.com
15300062,Alonso,Perez,aperezs@gmail.com,socio,True,False,2025-01-07,aperezs@gmail.com
35048615,Joaquin,Martinez,jmartinezn@gmail.com,socio,True,False,2024-07-13,jmartinezn@gmail.com
84426456,Paula,Vega,pvegak@gmail.com,socio,True,False,2025-05-30,pvegak@gmail.com
59273033,Paula,Silva,psilvao@gmail.com,socio,True,False,2024-01-21,psilvao@gmail.com
12512536,Alonso,Lopez,alopezj@gmail.com,socio,True,False,2025-09-01,alopezj@gmail.com
35483846,Sebastian,Garcia,sgarciah@gmail.com,socio,True,False,2024-04-19,sgarciah@gmail.com
96020669,Diego,Castillo,dcastilloa@gmail.com,socio,True,False,2024-05-18,dcastilloa@gmail.com
33976493,Mateo,Garcia,mgarciap@gmail.com,socio,True,False,2024-06-25,mgarciap@gmail.com
62156850,Mateo,Navarro,mnavarroa@gmail.com,socio,True,False,2023-11-17,mnavarroa@gmail.com
91329718,Mateo,Rodriguez,mrodriguezg@gmail.com,socio,True,False,2025-04-05,mrodriguezg@gmail.com
20731620,Hector,Juarez,hjuarezg@gmail.com,socio,True,False,2024-04-12,hjuarezg@gmail.com
59535555,Elena,Arias,eariasg@gmail.com,socio,True,False,2025-09-24,eariasg@gmail.com
38977615,Paula,Vargas,pvargasr@gmail.com,socio,True,False,2025-03-13,pvargasr@gmail.com
98164473,Martina,Martinez,mmartinezm@gmail.com,socio,True,False,2024-04-12,mmartinezm@gmail.com
87385064,Benjamin,Echeverria,becheverriaa@gmail.com,socio,True,False,2023-12-24,becheverriaa@gmail.com
34212413,Benjamin,Lopez,blopezf@gmail.com,socio,True,False,2024-01-01,blopezf@gmail.com
57288136,Franco,Romero,fromerok@gmail.com,socio,True,False,2024-10-20,fromerok@gmail.com
53412847,Andrea,Arias,aariasg@gmail.com,socio,True,False,2024-10-16,aariasg@gmail.com
58319528,Hector,Diaz,hdiazs@gmail.com,socio,True,False,2025-11-04,hdiazs@gmail.com
79472352,Diego,Vega,dvegag@gmail.com,socio,False,False,2025-01-01,dvegag@gmail.com
12912708,Martina,Ibarra,mibarrac@gmail.com,socio,False,False,2024-03-30,mibarrac@gmail.com
71789789,Valentina,Sanchez,vsanchezm@gmail.com,socio,True,False,2025-02-06,vsanchezm@gmail.com
44392465,Jose,Gutierrez,jgutierrezg@gmail.com,socio,True,False,2024-09-21,jgutierrezg@gmail.com
53579429,Martina,Diaz,mdiazr@gmail.com,socio,True,False,2023-11-29,mdiazr@gmail.com
89890579,Paula,Kraus,pkrauss@gmail.com,socio,True,False,2024-03-24,pkrauss@gmail.com
54881018,Clara,Munoz,cmunozk@gmail.com,socio,True,False,2025-07-04,cmunozk@gmail.com
90839556,Lucas,Diaz,ldiaza@gmail.com,socio,True,False,2024-12-27,ldiaza@gmail.com
30076290,Antonia,Ortiz,aortizn@gmail.com,socio,True,False,2025-03-23,aortizn@gmail.com
69809598,Pablo,Diaz,pdiazh@gmail.com,socio,True,False,2024-08-19,pdiazh@gmail.com
55119729,Florencia,Perez,fperezp@gmail.com,socio,True,False,2025-09-15,fperezp@gmail.com
77353558,Catalina,Rojas,crojash@gmail.com,socio,True,False,2025-06-19,crojash@gmail.com
97543303,Martina,Fuentes,mfuentesh@gmail.com,socio,True,False,2025-03-01,mfuentesh@gmail.com
87311859,Clara,Arias,cariasc@gmail.com,socio,True,False,2024-09-07,cariasc@gmail.com
56241350,Ignacio,Martinez,imartinezc@gmail.com,socio,True,False,2024-11-11,imartinezc@gmail.com
29571424,Ricardo,Romero,rromerov@gmail.com,socio,True,False,2025-03-10,rromerov@gmail.com
21517819,Ignacio,Perez,ipereze@gmail.com,socio,False,False,2024-02-08,ipereze@gmail.com
48612439,Marcos,Garcia,mgarciag@gmail.com,socio,True,False,2025-07-14,mgarciag@gmail.com
38052785,Joaquin,Gonzalez,jgonzalezc@gmail.com,socio,True,False,2024-04-24,jgonzalezc@gmail.com
93623280,Catalina,Ortiz,cortizf@gmail.com,socio,False,False,2024-03-18,cortizf@gmail.com
32859916,Camila,Munoz,cmunozs@gmail.com,socio,True,False,2023-11-22,cmunozs@gmail.com
11118594,Mateo,Romero,mromeroa@gmail.com,socio,True,False,2025-01-31,mromeroa@gmail.com
24480943,Hector,Bravo,hbravor@gmail.com,socio,True,False,2024-01-10,hbravor@gmail.com
23368583,Florencia,Miranda,fmirandac@gmail.com,socio,True,False,2024-03-03,fmirandac@gmail.com
71469875,Tomas,Martinez,tmartinezm@gmail.com,socio,True,False,2024-05-11,tmartinezm@gmail.com
31072888,Joaquin,Herrera,jherrerad@gmail.com,socio,True,False,2024-11-09,jherrerad@gmail.com
47027755,Diego,Gutierrez,dgutierrezm@gmail.com,socio,False,False,2024-10-04,dgutierrezm@gmail.com
47606981,Paula,Gonzalez,pgonzalezo@gmail.com,socio,True,False,2024-09-28,pgonzalezo@gmail.com
79889565,Isabella,Diaz,idiazh@gmail.com,socio,True,False,2024-03-28,idiazh@gmail.com
54195849,Diego,Kraus,dkrausv@gmail.com,socio,True,False,2025-04-07,dkrausv@gmail.com
37153619,Jose,Ortiz,jortizb@gmail.com,socio,False,False,2023-11-13,jortizb@gmail.com
29482024,Hector,Perez,hpereza@gmail.com,socio,True,False,2024-04-13,hpereza@gmail.com
52627226,Alonso,Sanchez,asanchezl@gmail.com,socio,False,False,2024-12-13,asanchezl@gmail.com
69459055,Gabriel,Arias,gariasv@gmail.com,socio,True,False,2025-04-26,gariasv@gmail.com
92138779,Tomas,Gonzalez,tgonzaleze@gmail.com,socio,True,False,2025-03-12,tgonzaleze@gmail.com
73968467,Sofia,Rodriguez,srodriguezr@gmail.com,socio,True,False,2024-02-24,srodriguezr@gmail.com
62004039,Andrea,Rodriguez,arodriguezl@gmail.com,socio,True,False,2025-05-21,arodriguezl@gmail.com
12015179,Mateo,Arias,mariase@gmail.com,socio,False,False,2023-12-18,mariase@gmail.com
33767033,Clara,Martinez,cmartinezr@gmail.com,socio,True,False,2024-12-07,cmartinezr@gmail.com
64340297,Elena,Gutierrez,egutierreza@gmail.com,socio,True,False,2024-12-19,egutierreza@gmail.com
81962094,Alonso,Navarro,anavarrov@gmail.com,socio,True,False,2025-07-16,anavarrov@gmail.com
42980201,Paula,Juarez,pjuarezm@gmail.com,socio,True,False,2025-09-25,pjuarezm@gmail.com
16616323,Camila,Echeverria,cecheverriaa@gmail.com,socio,False,False,2024-09-23,cecheverriaa@gmail.com
71920968,Clara,Garcia,cgarciav@gmail.com,socio,False,False,2024-02-16,cgarciav@gmail.com
29091078,Laura,Miranda,lmirandaj@gmail.com,socio,True,False,2024-06-10,lmirandaj@gmail.com
83337520,Clara,Navarro,cnavarroj@gmail.com,socio,True,False,2024-12-08,cnavarroj@gmail.com
37102854,Tomas,Romero,tromeron@gmail.com,socio,True,False,2024-12-08,tromeron@gmail.com
32010905,Hector,Cruz,hcruzf@gmail.com,socio,True,False,2023-11-12,hcruzf@gmail.com
61551334,Ignacio,Rojas,irojasm@gmail.com,socio,True,False,2024-04-20,irojasm@gmail.com
54988861,Clara,Lopez,clopezk@gmail.com,socio,True,False,2025-06-09,clopezk@gmail.com
51347409,Laura,Munoz,lmunoza@gmail.com,socio,True,False,2024-02-02,lmunoza@gmail.com
10474177,Elena,Perez,eperezm@gmail.com,socio,True,False,2024-06-13,eperezm@gmail.com
91602221,Sebastian,Flores,sfloresg@gmail.com,socio,True,False,2024-03-12,sfloresg@gmail.com
20657547,Maria,Arias,mariasr@gmail.com,socio,True,False,2024-04-23,mariasr@gmail.com
37868647,Andrea,Ortiz,aortizg@gmail.com,socio,True,False,2025-09-09,aortizg@gmail.com
14352961,Mateo,Perez,mperezi@gmail.com,socio,True,False,2025-08-07,mperezi@gmail.com
48168910,Gabriel,Lopez,glopezl@gmail.com,socio,True,False,2024-03-22,glopezl@gmail.com
50170625,Mateo,Rojas,mrojase@gmail.com,socio,True,False,2024-10-12,mrojase@gmail.com
83882978,Clara,Arias,cariasg@gmail.com,socio,True,False,2025-06-20,cariasg@gmail.com
80739820,Marcos,Silva,msilvac@gmail.com,socio,True,False,2023-11-23,msilvac@gmail.com
94420078,Mateo,Sanchez,msanchezn@gmail.com,socio,True,False,2023-11-30,msanchezn@gmail.com
67318164,Ricardo,Cruz,rcruzv@gmail.com,socio,False,False,2024-03-26,rcruzv@gmail.com
92448605,Ignacio,Kraus,ikrausp@gmail.com,socio,True,False,2024-01-27,ikrausp@gmail.com
91793056,Ricardo,Lopez,rlopezj@gmail.com,socio,True,False,2025-11-03,rlopezj@gmail.com
25827722,Maria,Alarcon,malarconf@gmail.com,socio,True,False,2025-09-19,malarconf@gmail.com
38499515,Sebastian,Flores,sfloresa@gmail.com,socio,True,False,2025-01-20,sfloresa@gmail.com
78006730,Isabella,Vargas,ivargasv@gmail.com,socio,True,False,2023-12-03,ivargasv@gmail.com
92677226,Florencia,Diaz,fdiazn@gmail.com,socio,True,False,2024-12-01,fdiazn@gmail.com
73686372,Hector,Bravo,hbravof@gmail.com,socio,True,False,2025-05-29,hbravof@gmail.com
54977656,Elena,Ibarra,eibarrao@gmail.com,socio,True,False,2025-09-08,eibarrao@gmail.com
52346074,Diego,Navarro,dnavarrod@gmail.com,socio,True,False,2024-03-23,dnavarrod@gmail.com
57458790,Ricardo,Kraus,rkrausj@gmail.com,socio,True,False,2025-10-04,rkrausj@gmail.com
32276047,Florencia,Alarcon,falarcono@gmail.com,socio,True,False,2025-07-08,falarcono@gmail.com
52211394,Clara,Vargas,cvargasc@gmail.com,socio,True,False,2025-08-08,cvargasc@gmail.com
50618137,Lucas,Rodriguez,lrodriguezr@gmail.com,socio,True,False,2025-05-09,lrodriguezr@gmail.com
37125189,Ricardo,Munoz,rmunoze@gmail.com,socio,True,False,2025-10-10,rmunoze@gmail.com
35529779,Elena,Miranda,emirandap@gmail.com,socio,True,False,2024-05-17,emirandap@gmail.com
23187101,Antonia,Perez,apereze@gmail.com,socio,True,False,2025-09-28,apereze@gmail.com
25547243,Laura,Ibarra,libarram@gmail.com,socio,True,False,2025-09-20,libarram@gmail.com
54733393,Franco,Ibarra,fibarrar@gmail.com,socio,True,False,2024-05-20,fibarrar@gmail.com
87518768,Alonso,Vargas,avargasg@gmail.com,socio,True,False,2025-04-13,avargasg@gmail.com
69205536,Catalina,Ortiz,cortizc@gmail.com,socio,True,False,2025-05-27,cortizc@gmail.com
78996054,Sofia,Vega,svegao@gmail.com,socio,True,False,2024-11-11,svegao@gmail.com
48019546,Catalina,Perez,cperezc@gmail.com,socio,True,False,2024-12-21,cperezc@gmail.com
16808353,Antonia,Ortiz,aortizr@gmail.com,socio,True,False,2023-12-14,aortizr@gmail.com
67239263,Florencia,Munoz,fmunozr@gmail.com,socio,False,False,2024-03-04,fmunozr@gmail.com
69839130,Andrea,Garcia,agarciac@gmail.com,socio,True,False,2025-04-16,agarciac@gmail.com
20542212,Pablo,Flores,pfloreso@gmail.com,socio,True,False,2023-11-20,pfloreso@gmail.com
96492401,Maria,Vargas,mvargasb@gmail.com,socio,True,False,2025-03-20,mvargasb@gmail.com
58781345,Elena,Vega,evegas@gmail.com,socio,True,False,2023-12-24,evegas@gmail.com
70838623,Marcos,Juarez,mjuarezc@gmail.com,socio,True,False,2024-07-06,mjuarezc@gmail.com
32924595,Joaquin,Romero,jromeroi@gmail.com,socio,True,False,2024-03-26,jromeroi@gmail.com
24358786,Benjamin,Herrera,bherrerag@gmail.com,socio,True,False,2024-12-30,bherrerag@gmail.com
42021033,Florencia,Navarro,fnavarroa@gmail.com,socio,True,False,2024-06-29,fnavarroa@gmail.com
89318677,Antonia,Martinez,amartinezg@gmail.com,socio,True,False,2024-11-19,amartinezg@gmail.com
99872888,Lucas,Lopez,llopezb@gmail.com,socio,True,False,2024-03-08,llopezb@gmail.com
69755911,Antonia,Ortiz,aortizs@gmail.com,socio,True,False,2025-08-25,aortizs@gmail.com
60856575,Pablo,Garcia,pgarciav@gmail.com,socio,True,False,2023-12-29,pgarciav@gmail.com
87949346,Martina,Garcia,mgarciap@gmail.com,socio,True,False,2025-06-05,mgarciap@gmail.com
87568641,Diego,Herrera,dherrerav@gmail.com,socio,True,False,2023-12-08,dherrerav@gmail.com
50876026,Diego,Navarro,dnavarrof@gmail.com,socio,True,False,2024-03-18,dnavarrof@gmail.com
27120235,Camila,Herrera,cherrerai@gmail.com,socio,False,False,2024-04-21,cherrerai@gmail.com
58216998,Sofia,Cruz,scruzo@gmail.com,socio,True,False,2025-10-04,scruzo@gmail.com
93914843,Laura,Navarro,lnavarroh@gmail.com,socio,True,False,2024-10-10,lnavarroh@gmail.com
73736162,Martina,Bravo,mbravol@gmail.com,socio,True,False,2024-10-07,mbravol@gmail.com
30705405,Ignacio,Garcia,igarciaa@gmail.com,socio,True,False,2025-10-24,igarciaa@gmail.com
75323947,Sofia,Perez,sperezd@gmail.com,socio,True,False,2025-06-17,sperezd@gmail.com
91125155,Gabriel,Ibarra,gibarrar@gmail.com,socio,True,False,2024-06-01,gibarrar@gmail.com
57688529,Paula,Romero,promeroh@gmail.com,socio,True,False,2024-02-24,promeroh@gmail.com
41776042,Joaquin,Ibarra,jibarrad@gmail.com,socio,True,False,2024-04-24,jibarrad@gmail.com
74863150,Mateo,Munoz,mmunozn@gmail.com,socio,False,False,2024-06-29,mmunozn@gmail.com
80653292,Isabella,Perez,iperezd@gmail.com,socio,True,False,2025-08-16,iperezd@gmail.com
73411376,Franco,Rojas,frojasg@gmail.com,socio,True,False,2024-03-21,frojasg@gmail.com
81810948,Mateo,Juarez,mjuarezc@gmail.com,socio,False,False,2024-05-29,mjuarezc@gmail.com
66507825,Jose,Diaz,jdiazc@gmail.com,socio,True,False,2025-05-17,jdiazc@gmail.com
50811697,Hector,Vega,hvegad@gmail.com,socio,True,False,2024-07-08,hvegad@gmail.com
49158452,Jose,Munoz,jmunozb@gmail.com,socio,True,False,2025-08-12,jmunozb@gmail.com
47292234,Isabella,Ibarra,iibarraf@gmail.com,socio,True,False,2025-01-21,iibarraf@gmail.com
24971907,Catalina,Gonzalez,cgonzalezd@gmail.com,socio,True,False,2024-08-04,cgonzalezd@gmail.com
41701674,Tomas,Silva,tsilvaf@gmail.com,socio,True,False,2024-05-13,tsilvaf@gmail.com
89932574,Antonia,Rojas,arojasp@gmail.com,socio,True,False,2024-09-08,arojasp@gmail.com
95573823,Lucas,Bravo,lbravor@gmail.com,socio,True,False,2024-11-16,lbravor@gmail.com
25568500,Catalina,Echeverria,cecheverriag@gmail.com,socio,True,False,2024-09-22,cecheverriag@gmail.com
81473736,Joaquin,Diaz,jdiaze@gmail.com,socio,True,False,2023-11-13,jdiaze@gmail.com
68349054,Catalina,Perez,cperezm@gmail.com,socio,True,False,2024-08-02,cperezm@gmail.com
15505291,Antonia,Miranda,amirandab@gmail.com,socio,False,False,2024-11-07,amirandab@gmail.com
97518806,Gabriel,Vega,gvegak@gmail.com,socio,True,False,2025-02-04,gvegak@gmail.com
62499769,Catalina,Alarcon,calarconn@gmail.com,socio,True,False,2023-12-17,calarconn@gmail.com
34148004,Martina,Miranda,mmirandac@gmail.com,socio,True,False,2023-12-17,mmirandac@gmail.com
23112905,Isabella,Gonzalez,igonzaleza@gmail.com,socio,True,False,2024-08-05,igonzaleza@gmail.com
35914696,Alonso,Vargas,avargass@gmail.com,socio,True,False,2025-08-02,avargass@gmail.com
39101720,Franco,Bravo,fbravoj@gmail.com,socio,True,False,2024-02-24,fbravoj@gmail.com
96960449,Pablo,Echeverria,pecheverriaj@gmail.com,socio,True,False,2025-04-30,pecheverriaj@gmail.com
20162184,Maria,Bravo,mbravok@gmail.com,socio,True,False,2024-08-24,mbravok@gmail.com
53406567,Pablo,Echeverria,pecheverriae@gmail.com,socio,True,False,2025-08-21,pecheverriae@gmail.com
54648162,Mateo,Herrera,mherrerah@gmail.com,socio,True,False,2025-02-06,mherrerah@gmail.com
36933352,Isabella,Fuentes,ifuentesk@gmail.com,socio,True,False,2024-06-19,ifuentesk@gmail.com
39311339,Sebastian,Echeverria,secheverriaa@gmail.com,socio,True,False,2025-02-12,secheverriaa@gmail.com
43634472,Isabella,Rojas,irojasn@gmail.com,socio,True,False,2024-06-13,irojasn@gmail.com
15078212,Andrea,Gonzalez,agonzalezk@gmail.com,socio,True,False,2023-11-19,agonzalezk@gmail.com
79173535,Florencia,Navarro,fnavarrog@gmail.com,socio,True,False,2024-09-17,fnavarrog@gmail.com
19408620,Clara,Flores,cfloresf@gmail.com,socio,False,False,2024-10-07,cfloresf@gmail.com
26267678,Paula,Echeverria,pecheverriaf@gmail.com,socio,True,False,2023-12-07,pecheverriaf@gmail.com
22169115,Mateo,Alarcon,malarcona@gmail.com,socio,True,False,2024-11-21,malarcona@gmail.com
48917593,Maria,Echeverria,mecheverriae@gmail.com,socio,False,False,2025-09-25,mecheverriae@gmail.com
62358969,Pablo,Martinez,pmartinezv@gmail.com,socio,False,False,2025-08-10,pmartinezv@gmail.com
28782825,Maria,Diaz,mdiazm@gmail.com,socio,True,False,2024-03-07,mdiazm@gmail.com
82551667,Florencia,Rojas,frojasf@gmail.com,socio,False,False,2024-08-01,frojasf@gmail.com
17523501,Sofia,Munoz,smunozc@gmail.com,socio,True,False,2025-07-06,smunozc@gmail.com
71521428,Andrea,Bravo,abravom@gmail.com,socio,True,False,2024-03-21,abravom@gmail.com
29003951,Isabella,Munoz,imunozd@gmail.com,socio,True,False,2024-02-10,imunozd@gmail.com
11928065,Laura,Alarcon,lalarconp@gmail.com,socio,True,False,2024-12-25,lalarconp@gmail.com
32909541,Benjamin,Romero,bromerov@gmail.com,socio,True,False,2024-06-13,bromerov@gmail.com
37198033,Franco,Gutierrez,fgutierrezr@gmail.com,socio,True,False,2023-12-11,fgutierrezr@gmail.com
83267417,Benjamin,Bravo,bbravon@gmail.com,socio,True,False,2025-03-31,bbravon@gmail.com
18485498,Jose,Lopez,jlopezc@gmail.com,socio,True,False,2024-09-05,jlopezc@gmail.com
68876111,Ignacio,Ortiz,iortizl@gmail.com,socio,True,False,2025-07-25,iortizl@gmail.com
31173338,Andrea,Vega,avegah@gmail.com,socio,True,False,2025-10-29,avegah@gmail.com
97477181,Hector,Rojas,hrojasc@gmail.com,socio,True,False,2024-07-05,hrojasc@gmail.com
46366259,Martina,Perez,mpereza@gmail.com,socio,False,False,2025-03-05,mpereza@gmail.com
90030269,Franco,Cruz,fcruzm@gmail.com,socio,True,False,2025-08-06,fcruzm@gmail.com
66208488,Ricardo,Vargas,rvargasr@gmail.com,socio,False,False,2025-07-07,rvargasr@gmail.com
82440371,Benjamin,Vega,bvegar@gmail.com,socio,True,False,2024-02-02,bvegar@gmail.com
25123535,Catalina,Munoz,cmunozm@gmail.com,socio,True,False,2025-05-08,cmunozm@gmail.com
96551756,Hector,Munoz,hmunozm@gmail.com,socio,True,False,2024-08-16,hmunozm@gmail.com
70820445,Franco,Flores,ffloresj@gmail.com,socio,False,False,2025-09-12,ffloresj@gmail.com
13901068,Tomas,Lopez,tlopezf@gmail.com,socio,False,False,2025-08-24,tlopezf@gmail.com
87814308,Alonso,Romero,aromeron@gmail.com,socio,False,False,2023-12-12,aromeron@gmail.com
53772726,Lucas,Echeverria,lecheverrias@gmail.com,socio,True,False,2024-09-08,lecheverrias@gmail.com
19868991,Florencia,Juarez,fjuarezg@gmail.com,socio,True,False,2024-08-15,fjuarezg@gmail.com
33898911,Hector,Vega,hvegar@gmail.com,socio,True,False,2024-07-24,hvegar@gmail.com
37140286,Andrea,Rodriguez,arodriguezs@gmail.com,socio,True,False,2023-11-27,arodriguezs@gmail.com
72482955,Catalina,Perez,cperezs@gmail.com,socio,True,False,2024-11-18,cperezs@gmail.com
95630804,Diego,Vega,dvegal@gmail.com,socio,True,False,2024-09-09,dvegal@gmail.com
89400640,Joaquin,Ibarra,jibarram@gmail.com,socio,True,False,2025-10-21,jibarram@gmail.com
43263373,Alonso,Ibarra,aibarrag@gmail.com,socio,False,False,2025-03-22,aibarrag@gmail.com
87000815,Jose,Perez,jperezk@gmail.com,socio,False,False,2025-09-24,jperezk@gmail.com
14512474,Alonso,Echeverria,aecheverriam@gmail.com,socio,True,False,2024-07-02,aecheverriam@gmail.com
70725652,Laura,Garcia,lgarcias@gmail.com,socio,True,False,2024-04-12,lgarcias@gmail.com
39260335,Laura,Diaz,ldiaza@gmail.com,socio,True,False,2025-03-05,ldiaza@gmail.com
99796439,Isabella,Gonzalez,igonzalezf@gmail.com,socio,True,False,2024-07-22,igonzalezf@gmail.com
71047698,Alonso,Navarro,anavarrog@gmail.com,socio,True,False,2023-11-15,anavarrog@gmail.com
94129142,Ricardo,Ibarra,ribarrar@gmail.com,socio,True,False,2024-02-01,ribarrar@gmail.com
81258920,Elena,Cruz,ecruzc@gmail.com,socio,True,False,2025-02-01,ecruzc@gmail.com
37802722,Franco,Ortiz,fortizn@gmail.com,socio,True,False,2025-09-09,fortizn@gmail.com
16920612,Hector,Bravo,hbravor@gmail.com,socio,True,False,2024-07-16,hbravor@gmail.com
96996261,Ignacio,Rodriguez,irodriguezl@gmail.com,socio,True,False,2024-11-27,irodriguezl@gmail.com
87862305,Benjamin,Alarcon,balarconf@gmail.com,socio,False,False,2024-11-08,balarconf@gmail.com
47197817,Camila,Bravo,cbravoa@gmail.com,socio,True,False,2024-11-16,cbravoa@gmail.com
26469781,Camila,Miranda,cmirandag@gmail.com,socio,False,False,2024-05-08,cmirandag@gmail.com
18808386,Maria,Vega,mvegar@gmail.com,socio,True,False,2025-08-14,mvegar@gmail.com
24678711,Tomas,Vargas,tvargasr@gmail.com,socio,True,False,2023-11-22,tvargasr@gmail.com
79885511,Valentina,Ibarra,vibarram@gmail.com,socio,True,False,2023-12-07,vibarram@gmail.com
66388890,Valentina,Fuentes,vfuentesr@gmail.com,socio,True,False,2025-04-25,vfuentesr@gmail.com
79742280,Marcos,Flores,mfloresg@gmail.com,socio,True,False,2024-11-18,mfloresg@gmail.com
89639062,Ricardo,Castillo,rcastillof@gmail.com,socio,True,False,2024-07-24,rcastillof@gmail.com
51137063,Valentina,Juarez,vjuarezf@gmail.com,socio,True,False,2024-06-27,vjuarezf@gmail.com
16351040,Diego,Echeverria,decheverriai@gmail.com,socio,False,False,2024-07-26,decheverriai@gmail.com
81848989,Franco,Kraus,fkrausl@gmail.com,socio,True,False,2023-11-10,fkrausl@gmail.com
31643241,Pablo,Flores,pfloresp@gmail.com,socio,True,False,2024-12-15,pfloresp@gmail.com
34762712,Maria,Silva,msilvar@gmail.com,socio,False,False,2024-12-15,msilvar@gmail.com
82459667,Valentina,Rodriguez,vrodriguezr@gmail.com,socio,False,False,2025-07-03,vrodriguezr@gmail.com
29513094,Florencia,Kraus,fkrausf@gmail.com,socio,False,False,2025-10-31,fkrausf@gmail.com
96871612,Sebastian,Miranda,smirandac@gmail.com,socio,False,False,2025-01-12,smirandac@gmail.com
29741209,Clara,Navarro,cnavarrob@gmail.com,socio,True,False,2025-07-12,cnavarrob@gmail.com
83948598,Elena,Munoz,emunozp@gmail.com,socio,True,False,2024-09-19,emunozp@gmail.com
22412607,Lucas,Romero,lromeror@gmail.com,socio,True,False,2024-01-18,lromeror@gmail.com
47302753,Camila,Gutierrez,cgutierrezf@gmail.com,socio,True,False,2024-05-02,cgutierrezf@gmail.com
78690958,Pablo,Bravo,pbravor@gmail.com,socio,True,False,2024-12-14,pbravor@gmail.com
99491869,Camila,Munoz,cmunozk@gmail.com,socio,True,False,2024-08-24,cmunozk@gmail.com
56294407,Ignacio,Gonzalez,igonzalezv@gmail.com,socio,True,False,2024-04-09,igonzalezv@gmail.com
65782199,Alonso,Juarez,ajuarezr@gmail.com,socio,True,False,2024-08-27,ajuarezr@gmail.com
88809974,Gabriel,Perez,gperezg@gmail.com,socio,True,False,2024-12-29,gperezg@gmail.com
18873909,Marcos,Miranda,mmirandac@gmail.com,socio,True,False,2024-09-11,mmirandac@gmail.com
84600071,Catalina,Arias,cariasl@gmail.com,socio,True,False,2025-04-28,cariasl@gmail.com
15668405,Diego,Ortiz,dortizf@gmail.com,socio,True,False,2024-04-11,dortizf@gmail.com
10328387,Lucas,Gonzalez,lgonzalezf@gmail.com,socio,True,False,2024-01-19,lgonzalezf@gmail.com
99377391,Joaquin,Sanchez,jsancheza@gmail.com,socio,False,False,2024-06-19,jsancheza@gmail.com
26019511,Andrea,Gutierrez,agutierrezg@gmail.com,socio,True,False,2024-03-01,agutierrezg@gmail.com
68528124,Jose,Fuentes,jfuentesn@gmail.com,socio,True,False,2025-07-05,jfuentesn@gmail.com
44834491,Alonso,Navarro,anavarrog@gmail.com,socio,True,False,2024-12-12,anavarrog@gmail.com
31918943,Laura,Perez,lperezr@gmail.com,socio,True,False,2024-09-01,lperezr@gmail.com
49146492,Ignacio,Munoz,imunozv@gmail.com,socio,True,False,2025-04-20,imunozv@gmail.com
90364540,Tomas,Echeverria,techeverrias@gmail.com,socio,True,False,2024-12-16,techeverrias@gmail.com
46434606,Pablo,Flores,pfloresv@gmail.com,socio,True,False,2024-03-21,pfloresv@gmail.com
79547700,Valentina,Gonzalez,vgonzalezp@gmail.com,socio,True,False,2024-06-26,vgonzalezp@gmail.com
23746292,Hector,Kraus,hkrausl@gmail.com,socio,True,False,2025-03-23,hkrausl@gmail.com
92332960,Ricardo,Juarez,rjuarezo@gmail.com,socio,True,False,2024-04-19,rjuarezo@gmail.com
71806103,Ricardo,Sanchez,rsancheza@gmail.com,socio,False,False,2025-06-23,rsancheza@gmail.com
58663129,Joaquin,Rodriguez,jrodriguezv@gmail.com,socio,True,False,2024-03-03,jrodriguezv@gmail.com
50894029,Antonia,Lopez,alopezc@gmail.com,socio,True,False,2025-06-26,alopezc@gmail.com
51262331,Valentina,Cruz,vcruzg@gmail.com,socio,True,False,2025-08-16,vcruzg@gmail.com
20433455,Clara,Flores,cfloress@gmail.com,socio,True,False,2024-08-20,cfloress@gmail.com
98555359,Benjamin,Munoz,bmunozf@gmail.com,socio,False,False,2025-07-06,bmunozf@gmail.com
99601933,Mateo,Rojas,mrojasv@gmail.com,socio,False,False,2025-07-01,mrojasv@gmail.com
36846824,Martina,Navarro,mnavarroj@gmail.com,socio,True,False,2025-08-04,mnavarroj@gmail.com
56685830,Alonso,Silva,asilvan@gmail.com,socio,True,False,2024-06-10,asilvan@gmail.com
86535694,Franco,Gutierrez,fgutierrezm@gmail.com,socio,True,False,2024-03-22,fgutierrezm@gmail.com
35709072,Camila,Martinez,cmartinezc@gmail.com,socio,True,False,2024-05-03,cmartinezc@gmail.com
38724658,Alonso,Sanchez,asanchezk@gmail.com,socio,True,False,2023-11-21,asanchezk@gmail.com
34273079,Maria,Bravo,mbravos@gmail.com,socio,True,False,2025-03-30,mbravos@gmail.com
52181984,Gabriel,Sanchez,gsancheze@gmail.com,socio,True,False,2024-05-21,gsancheze@gmail.com
48691113,Clara,Rodriguez,crodriguezc@gmail.com,socio,True,False,2024-06-17,crodriguezc@gmail.com
51876858,Diego,Romero,dromerov@gmail.com,socio,True,False,2024-09-13,dromerov@gmail.com
19342782,Marcos,Arias,mariasm@gmail.com,socio,False,False,2025-10-22,mariasm@gmail.com
63199848,Joaquin,Bravo,jbravos@gmail.com,socio,True,False,2023-12-13,jbravos@gmail.com
